,company_name,purpose,anouncement,record_date,ex-date,bc_start_date,bc_end_date,nd_start_date,nd_end_date,actual_payment_date
61,JSW Energy,Final DIVIDEND of 10.00,20-05-2020,-,04-08-2020,None,None,None,None,None
62,JMC Projects,Final DIVIDEND of 35.00,19-05-2020,-,04-08-2020,None,None,None,None,None
63,Polyspin Export,Final DIVIDEND of 6.00,25-06-2020,05-08-2020,04-08-2020,None,None,None,None,None
64,Disa India,Final DIVIDEND of 25.00,03-06-2020,-,03-08-2020,None,None,None,None,None
65,Kaycee Ind,Final DIVIDEND of 30.00,09-06-2020,04-08-2020,03-08-2020,None,None,None,None,None
66,Bosch,Final DIVIDEND of 1050.00,22-05-2020,-,03-08-2020,None,None,None,None,None
67,Titan Company,Final DIVIDEND of 400.00,08-06-2020,-,03-08-2020,None,None,None,None,None
68,Kuantum Papers,Final DIVIDEND of 25.00,03-07-2020,-,30-07-2020,None,None,None,None,None
69,Balaji Amines,Final DIVIDEND of 30.00,22-06-2020,-,30-07-2020,None,None,None,None,None
70,Essel Propack,Final DIVIDEND of 102.50,22-05-2020,31-07-2020,30-07-2020,None,None,None,None,None
71,Hero Motocorp,Final DIVIDEND of 1250.00,09-06-2020,-,30-07-2020,None,None,None,None,None
72,Khaitan Chem,Final DIVIDEND of 20.00,22-06-2020,-,30-07-2020,None,None,None,None,None
73,Matrimony.com,Final DIVIDEND of 30.00,20-05-2020,31-07-2020,30-07-2020,None,None,None,None,None
74,Whirlpool,Final DIVIDEND of 50.00,18-06-2020,-,30-07-2020,None,None,None,None,None
75,Alembic,Final DIVIDEND of 30.00,26-05-2020,-,29-07-2020,None,None,None,None,None
76,Bata India,Final DIVIDEND of 80.00,26-05-2020,-,29-07-2020,None,None,None,None,None
77,Morganite India,Final DIVIDEND of 160.00,16-06-2020,-,29-07-2020,None,None,None,None,None
78,Gujarat Pipavav,Final DIVIDEND of 35.00,09-06-2020,-,29-07-2020,None,None,None,None,None
79,Novartis India,Final DIVIDEND of 200.00,19-06-2020,-,29-07-2020,None,None,None,None,None
80,Mahindra EPC,Final DIVIDEND of 12.00,15-05-2020,-,28-07-2020,None,None,None,None,None
81,Rane Brake,Final DIVIDEND of 110.00,17-06-2020,29-07-2020,28-07-2020,None,None,None,None,None
82,SOLARA ACTIVE P,Final DIVIDEND of 20.00,07-05-2020,-,28-07-2020,None,None,None,None,None
83,Seshasayee Pape,Final DIVIDEND of 175.00,01-06-2020,-,28-07-2020,None,None,None,None,None
84,Seshasayee Pape,Special DIVIDEND of 25.00,02-06-2020,-,28-07-2020,None,None,None,None,None
85,Bayer CropScien,Final DIVIDEND of 250.00,22-05-2020,-,27-07-2020,None,None,None,None,None
86,Trent,Final DIVIDEND of 100.00,26-05-2020,-,24-07-2020,None,None,None,None,None
87,Paushak Ltd,Final DIVIDEND of 60.00,19-05-2020,-,24-07-2020,None,None,None,None,None
88,A.K.Capital Ser,Final DIVIDEND of 10.00,29-06-2020,24-07-2020,23-07-2020,None,None,None,None,None
89,Asian Paints,Final DIVIDEND of 150.00,23-06-2020,-,23-07-2020,None,None,None,None,None
90,Capri Global,Final DIVIDEND of 10.00,11-05-2020,-,23-07-2020,None,None,None,None,None
91,HCL Tech,Interim DIVIDEND of 0.00,03-07-2020,25-07-2020,23-07-2020,None,None,None,None,None
92,Mahindra Logist,Final DIVIDEND of 15.00,20-05-2020,-,23-07-2020,None,None,None,None,None
93,Orient Cement,Final DIVIDEND of 75.00,22-05-2020,-,23-07-2020,None,None,None,None,None
94,Super Sales,Final DIVIDEND of 25.00,26-05-2020,-,23-07-2020,None,None,None,None,None
95,Tech Mahindra,Final DIVIDEND of 100.00,30-04-2020,-,23-07-2020,None,None,None,None,None
96,Timken,Final DIVIDEND of 500.00,05-06-2020,-,23-07-2020,None,None,None,None,None
97,BSE Limited,Final DIVIDEND of 850.00,22-05-2020,23-07-2020,22-07-2020,None,None,None,None,None
98,BASF,Final DIVIDEND of 30.00,26-05-2020,-,22-07-2020,None,None,None,None,None
99,Godrej Agrovet,Final DIVIDEND of 55.00,11-05-2020,-,22-07-2020,None,None,None,None,None
100,Indo Count,Final DIVIDEND of 30.00,12-06-2020,23-07-2020,22-07-2020,None,None,None,None,None
101,TCPL Packaging,Final DIVIDEND of 40.00,12-06-2020,-,22-07-2020,None,None,None,None,None
102,Wheels,Final DIVIDEND of 26.50,17-06-2020,-,22-07-2020,None,None,None,None,None
103,Chemfab Alkalis,Final DIVIDEND of 12.50,04-06-2020,-,21-07-2020,None,None,None,None,None
104,HIL,Final DIVIDEND of 100.00,26-05-2020,-,21-07-2020,None,None,None,None,None
105,Vaibhav Global,Final DIVIDEND of 70.00,28-05-2020,-,21-07-2020,None,None,None,None,None
106,Newgen Software,Final DIVIDEND of 20.00,26-05-2020,21-07-2020,20-07-2020,None,None,None,None,None
107,Oriental Hotels,Final DIVIDEND of 20.00,03-06-2020,-,20-07-2020,None,None,None,None,None
108,VST,Final DIVIDEND of 1030.00,21-05-2020,-,20-07-2020,None,None,None,None,None
109,GlaxoSmithKline,Final DIVIDEND of 200.00,18-05-2020,20-07-2020,17-07-2020,None,None,None,None,None
110,GlaxoSmithKline,Special DIVIDEND of 200.00,19-05-2020,20-07-2020,17-07-2020,None,None,None,None,None
111,Indian Hotels,Final DIVIDEND of 50.00,10-06-2020,-,17-07-2020,None,None,None,None,None
112,Srikalahasthi,Final DIVIDEND of 70.00,01-06-2020,-,17-07-2020,None,None,None,None,None
113,ABB India,Final DIVIDEND of 240.00,12-02-2020,-,16-07-2020,None,None,None,None,None
114,Astec Life,Final DIVIDEND of 15.00,05-05-2020,-,16-07-2020,None,None,None,None,None
