,symbol,company_name,series,face_value,purpose,ex_date,record_date,bc_start_date,bc_end_date
357,TIRUPATIFL,Tirupati Forge Limited,SM,10,ANNUAL GENERAL MEETING,06-Sep-2018,,08-Sep-2018,14-Sep-2018
358,TOUCHWOOD,Touchwood Entertainment Limited,SM,10,ANNUAL GENERAL MEETING,26-Jul-2018,,28-Jul-2018,04-Aug-2018
359,MITTAL,Mittal Life Style Limited,SM,10,INTERIM DIVIDEND - RE 0.50 PER SHARE,10-Dec-2018,11-Dec-2018,,
360,ASLIND,ASL Industries Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2019,,24-Sep-2019,30-Sep-2019
361,ASLIND,ASL Industries Limited,SM,10,ANNUAL GENERAL MEETING,31-Jul-2018,,02-Aug-2018,08-Aug-2018
362,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND RS 3 PER SHARE,05-Sep-2018,,07-Sep-2018,15-Sep-2018
363,ARTNIRMAN,Art Nirman Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2019,,20-Sep-2019,26-Sep-2019
364,MCL,Madhav Copper Limited,SM,10,BONUS 1:1,22-Oct-2019,23-Oct-2019,,
365,BOHRA,Bohra Industries Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND RE 0.5 PER SHARE,19-Sep-2018,,22-Sep-2018,28-Sep-2018
366,SRIRAM,Shri Ram Switchgears Limited,SM,10,ANNUAL GENERAL MEETING,17-Sep-2019,,19-Sep-2019,26-Sep-2019
367,SRIRAM,Shri Ram Switchgears Limited,SM,10,ANNUAL GENERAL MEETING,21-Sep-2017,,23-Sep-2017,30-Sep-2017
368,SUREVIN,Surevin BPO Services Limied,SM,10,EXTRA ORDINRY GENERAL MEETING,25-Feb-2020,,27-Feb-2020,04-Mar-2020
369,DPWIRES,D P Wires Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,30-Sep-2019
370,DPWIRES,D P Wires Limited,SM,10,ANNUAL GENERAL MEETING,05-Sep-2018,,07-Sep-2018,14-Sep-2018
371,MPTODAY,Madhya Pradesh Today Media Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,27-Sep-2019
372,MPTODAY,Madhya Pradesh Today Media Limited,SM,10,INTERIM DIVIDEND RE 0.50 PER SHARE,17-Oct-2017,18-Oct-2017,,
373,MILTON,Milton Industries Limited,SM,10,BONUS 1:10,14-Oct-2019,15-Oct-2019,,
374,PULZ,Pulz Electronics Limited,SM,10,INTERIM DIVIDEND,23-Jan-2020,24-Jan-2020,,
375,SMVD,SMVD Poly Pack Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,30-Sep-2019
376,SSINFRA,null,SM,,DIVIDEND RE 0.30 PER SHARE,21-Sep-2018,24-Sep-2018,,
377,SVLL,null,SM,,ANNUAL GENERAL MEETING,16-Sep-2019,,18-Sep-2019,24-Sep-2019
378,SVLL,null,SM,,ANNUAL GENERAL MEETING,19-Sep-2018,,23-Sep-2018,29-Sep-2018
379,MARSHALL,Marshall Machines Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,30-Sep-2019
380,SIRCA,Sirca Paints India Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2018,,21-Sep-2018,27-Sep-2018
381,IRISDOREME,Iris Clothings Limited,SM,10,ANNUAL GENERAL MEETING,23-Jul-2019,,25-Jul-2019,31-Jul-2019
382,GRETEX,Gretex Industries Limited,SM,,ANNUAL GENERAL MEETING,18-Sep-2017,,20-Sep-2017,26-Sep-2017
383,INNOVATIVE,Innovative Tyres and Tubes Limited,SM,10,ANNUAL GENERAL MEETING,26-Sep-2019,,28-Sep-2019,30-Sep-2019
384,SIIL,Supreme (India) Impex Limited,SM,10,ANNUAL GENERAL MEETING/ DIVIDEND -  RE 0.50/- PER SHARE,21-Sep-2015,,23-Sep-2015,30-Sep-2015
385,SHAIVAL,Shaival Reality Limited,SM,10,ANNUAL GENERAL MEETING,31-Aug-2016,,02-Sep-2016,06-Sep-2016
386,WEALTH,Wealth First Portfolio Managers Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,16-Sep-2019,17-Sep-2019,,
387,NANDANI,Nandani Creation Limited,SM,10,BONUS 3:2,30-Apr-2019,02-May-2019,,
388,PANSARI,Pansari Developers Limited,SM,10,ANNUAL GENERAL MEETING,21-Sep-2018,,25-Sep-2018,29-Sep-2018
389,GLOBAL,Global Education Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.50 PER SHARE,18-Jul-2019,,20-Jul-2019,03-Aug-2019
390,GLOBAL,Global Education Limited,SM,10,DIVIDEND- RS 2.50 PER SHARE,26-Jun-2018,27-Jun-2018,,
391,GLOBAL,Global Education Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND -RS 2.50/- PER SHARE,15-Jun-2017,,17-Jun-2017,30-Jun-2017
392,CKPPRODUCT,CKP Products Limited,SM,10,ANNUAL GENERAL MEETING,15-Sep-2017,,19-Sep-2017,29-Sep-2017
393,SILVERTUC,Silver Touch Technologies Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND- RE 0.50 PER SHARE (PURPOSE REVISED),20-Aug-2018,,23-Aug-2018,30-Aug-2018
394,AMBANIORG,Ambani Organics Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,28-Sep-2019
395,ACCORD,Accord Synergy Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2019,,24-Sep-2019,30-Sep-2019
396,RELIABLE,Reliable Data Services Limited,SM,10,INTERIM DIVIDEND - RE 0.10 PER SHARE,26-Feb-2019,27-Feb-2019,,
397,ZODIAC,Zodiac Energy Limited,SM,10,ANNUAL GENERAL MEETING,12-Sep-2018,,15-Sep-2018,22-Sep-2018
398,BANKA,Banka Bioloo Limited,SM,10,INTERIM DIVIDEND - RE 1 PER SHARE,03-Jun-2019,05-Jun-2019,,
399,BANKA,Banka Bioloo Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,29-Sep-2018
400,MMP,MMP Industries Limited,SM,10,ANNUAL GENERAL MEETING,08-Aug-2019,,10-Aug-2019,21-Aug-2019
401,AAKASH,Aakash Exploration Services Limited,SM,10,EXTRA ORDINARY GENERAL MEETING,26-Apr-2019,,02-May-2019,11-May-2019
402,AAKASH,Aakash Exploration Services Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2018,,21-Sep-2018,29-Sep-2018
403,MAHICKRA,null,SM,,ANNUAL GENERAL MEETING,11-Sep-2019,,13-Sep-2019,20-Sep-2019
404,SHRADHA,null,SM,,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,19-Sep-2019,20-Sep-2019,,
405,SOFTTECH,null,SM,,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,20-Sep-2019,,24-Sep-2019,30-Sep-2019
406,RPPL,Rajshree Polypack Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,18-Sep-2019,,20-Sep-2019,27-Sep-2019
407,SURANI,Surani Steel Tubes Limited,SM,10,ANNUAL GENERAL MEETING,19-Aug-2019,,21-Aug-2019,27-Aug-2019
408,SANGINITA,Sanginita Chemicals Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2018,,21-Sep-2018,28-Sep-2018
409,LIBAS,Libas Designs Limited,SM,10,ANNUAL GENERAL MEETING (DATE REVISED),20-Sep-2017,,22-Sep-2017,28-Sep-2017
410,SHRENIK,Shrenik Limited,SM,2,DIVIDEND - RE 0.20 PER SHARE,08-Aug-2019,12-Aug-2019,,
411,KRISHANA,Krishana Phoschem Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,27-Sep-2018
412,BSHSL,null,SM,,BONUS 1:5,22-Oct-2019,23-Oct-2019,,
413,SRPL,Shree Ram Proteins Limited,SM,10,ANNUAL GENERAL MEETING,21-Sep-2018,,25-Sep-2018,29-Sep-2018
414,SOLEX,Solex Energy Limited,SM,10,DIVIDEND RE 1/- PER SHARE,10-Jul-2018,,12-Jul-2018,17-Jul-2018
415,MITCON,MITCON Consultancy & Engineering Services Limited,SM,,ANNUAL GENERAL MEETING/ DIVIDEND -  RE 1/- PER SHARE,14-Aug-2015,,19-Aug-2015,26-Aug-2015
416,THEJO,Thejo Engineering Limited,SM,10,DIVIDEND - RS 3.50/- PER SHARE,24-Jul-2014,,26-Jul-2014,28-Jul-2014
417,LAXMICOT,LAXMI COTSPIN LIMITED,SM,10,ANNUAL GENERAL MEETING,21-Aug-2019,,23-Aug-2019,29-Aug-2019
418,LAXMICOT,LAXMI COTSPIN LIMITED,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.50 PER SHARE,10-Jul-2017,,12-Jul-2017,18-Jul-2017
419,MAHESHWARI,Maheshwari Logistics Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND RE 0.50 PER SHARE,17-Sep-2018,,19-Sep-2018,24-Sep-2018
420,PASHUPATI,Pashupati Cotspin Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,17-Sep-2019,,19-Sep-2019,26-Sep-2019
421,PASHUPATI,Pashupati Cotspin Limited,SM,10,ANNUAL GENERAL MEETING,06-Sep-2018,,10-Sep-2018,17-Sep-2018
422,BETA,Beta Drugs Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,30-Sep-2019
423,TIRUPATIFL,Tirupati Forge Limited,SM,10,ANNUAL GENERAL MEETING,12-Sep-2019,,14-Sep-2019,20-Sep-2019
424,MDL,Marvel Decor Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,29-Sep-2018
425,SANCO,Sanco Industries Limited,SM,10,ANNUAL GENERAL MEETING,24-Sep-2015,,29-Sep-2015,30-Sep-2015
426,MKPL,M K Proteins Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2017,,21-Sep-2017,28-Sep-2017
427,OPAL,Opal Luxury Time Products Limited,SM,10,ANNUAL GENERAL MEETING,21-Sep-2017,,25-Sep-2017,29-Sep-2017
428,OPAL,Opal Luxury Time Products Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2013,,23-Sep-2013,27-Sep-2013
429,AARVI,Aarvi Encon Limited,SM,10,DIVIDEND- RE 0.50 PER SHARE,24-Aug-2018,27-Aug-2018,,
430,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,SM,10,ANNUAL GENERAL MEETING,02-Sep-2016,,07-Sep-2016,10-Sep-2016
431,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,SM,10,ANNUAL GENERAL MEETING,23-Sep-2015,,26-Sep-2015,29-Sep-2015
432,AURDIS,Aurangabad Distillery Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,29-Sep-2018
433,GICL,Globe International Carriers Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2018,,21-Sep-2018,28-Sep-2018
434,GICL,Globe International Carriers Limited,SM,10,ANNUAL GENERAL MEETING,10-Aug-2017,,12-Aug-2017,18-Aug-2017
435,SRIRAM,Shri Ram Switchgears Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,29-Sep-2018
436,SUREVIN,Surevin BPO Services Limied,SM,10,ANNUAL GENERAL MEETING,20-Sep-2019,,24-Sep-2019,30-Sep-2019
437,LEXUS,Lexus Granito (India) Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,27-Sep-2019
438,LEXUS,Lexus Granito (India) Limited,SM,10,ANNUAL GENERAL MEETING,17-Sep-2018,,19-Sep-2018,21-Sep-2018
439,PULZ,Pulz Electronics Limited,SM,10,BONUS 1:1,26-Sep-2019,27-Sep-2019,,
440,SARVESHWAR,Sarveshwar Foods Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2019,,20-Sep-2019,27-Sep-2019
441,SARVESHWAR,Sarveshwar Foods Limited,SM,10,ANNUAL GENERAL MEETING,14-Sep-2018,,18-Sep-2018,25-Sep-2018
442,UNIINFO,Uniinfo Telecom Services Limited,SM,10,ANNUAL GENERAL MEETING,17-Sep-2018,,19-Sep-2018,26-Sep-2018
443,NARMADA,null,SM,,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.10 PER SHARE,18-Sep-2019,,20-Sep-2019,25-Sep-2019
444,SAGARDEEP,Sagardeep Alloys Limited,SM,10,ANNUAL GENERAL MEETING,22-Sep-2016,,24-Sep-2016,30-Sep-2016
445,SIRCA,Sirca Paints India Limited,SM,10,BONUS 1:2,09-Jul-2019,10-Jul-2019,,
446,PANACHE,Panache Digilife Limited,SM,10,BONUS 1:1,18-Jul-2019,19-Jul-2019,,
447,PANACHE,Panache Digilife Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND RE 0.50 PER SHARE,17-Sep-2018,,19-Sep-2018,25-Sep-2018
448,AMJUMBO,A and M Jumbo Bags Limited,SM,10,ANNUAL GENERAL MEETING,13-Jun-2019,,15-Jun-2019,20-Jun-2019
449,JALAN,Jalan Transolutions (India) Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2019,,24-Sep-2019,30-Sep-2019
450,SIIL,Supreme (India) Impex Limited,SM,10,DIVIDEND - RE 0.50 PER SHARE,20-Sep-2016,,22-Sep-2016,30-Sep-2016
451,FOURTHDIM,Fourth Dimension Solutions Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2016,,21-Sep-2016,27-Sep-2016
452,KKVAPOW,KKV Agro Powers Limited,SM,10,BONUS 1:4/DIVIDEND- RE 1 PER SHARE,19-Jul-2018,20-Jul-2018,,
453,HUSYSLTD,Husys Consulting Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,18-Jul-2019,,22-Jul-2019,26-Jul-2019
454,HUSYSLTD,Husys Consulting Limited,SM,10,DIVIDEND - RE 0.50 PER SHARE,03-Jul-2017,,05-Jul-2017,11-Jul-2017
455,NANDANI,Nandani Creation Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,30-Sep-2019
456,NANDANI,Nandani Creation Limited,SM,10,ANNUAL GENERAL MEETING,15-Sep-2017,,19-Sep-2017,25-Sep-2017
457,PANSARI,Pansari Developers Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2019,,20-Sep-2019,27-Sep-2019
458,PANSARI,Pansari Developers Limited,SM,10,ANNUAL GENERAL MEETING,14-Sep-2017,,18-Sep-2017,26-Sep-2017
459,JETFREIGHT,Jet Freight Logistics Limited,SM,10,INTERIM DIVIDEND- RE 0.10 PER SHARE (PURPOSE REVISED),09-Aug-2018,10-Aug-2018,,
460,GLOBAL,Global Education Limited,SM,10,INTERIM DIVIDEND - RS 2.50 PER SHARE,02-Nov-2017,03-Nov-2017,,
461,AMBANIORG,Ambani Organics Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2018,,21-Sep-2018,27-Sep-2018
462,ACCORD,Accord Synergy Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2017,,22-Sep-2017,28-Sep-2017
463,MANAV,Manav Infra Projects Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,27-Sep-2018
464,CADSYS,Cadsys (India) Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.25 PER SH,12-Sep-2019,,14-Sep-2019,24-Sep-2019
465,RELIABLE,Reliable Data Services Limited,SM,10,ANNUAL GENERAL MEETING,28-Aug-2019,,30-Aug-2019,07-Sep-2019
466,OMFURN,Omfurn India Limited,SM,10,ANNUAL GENERAL MEETING,01-Aug-2019,,03-Aug-2019,09-Aug-2019
467,VASA,Vasa Retail & Oversea Ltd,SM,10,ANNUAL GENERAL MEETING/DIVIDEND- RE 0.1 PER SHARE,19-Sep-2018,,22-Sep-2018,28-Sep-2018
468,ARVEE,Arvee Laboratories (India) Limited,SM,10,ANNUAL GENERAL MEETING,13-Aug-2018,,16-Aug-2018,18-Aug-2018
469,BANKA,Banka Bioloo Limited,SM,10,INTERIM DIVIDEND,03-Jun-2019,05-Jun-2019,,
470,MAHICKRA,null,SM,,INTERIM DIVIDEND - RS 0.30 PER SHARE,19-Mar-2020,20-Mar-2020,,
471,PIGL,null,SM,,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,30-Sep-2019
472,BRIGHT,Bright Solar Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.10 PER SHARE,12-Sep-2019,,16-Sep-2019,28-Sep-2019
473,AVONMPL,Avon Moldplast Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,30-Sep-2019
474,UCL,Ushanti Colour Chem Limited,SM,10,ANNUAL GENERAL MEETING,12-Sep-2018,14-Sep-2018,,
475,STEELCITY,Steel City Securities Limited,SM,10,INTERIM DIVIDEND - RE 1 PER SHARE,09-Mar-2018,12-Mar-2018,,
476,STEELCITY,Steel City Securities Limited,SM,10,INTERIM DIVIDEND RE 1/- PER SHARE,21-Mar-2017,22-Mar-2017,,
477,MITCON,MITCON Consultancy & Engineering Services Limited,SM,,DIVIDEND -RE 1 PER SHARE,27-Jul-2016,,29-Jul-2016,05-Aug-2016
478,UNITEDPOLY,UNITED POLYFAB GUJARAT LIMITED,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,30-Sep-2019
479,UNITEDPOLY,UNITED POLYFAB GUJARAT LIMITED,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,29-Sep-2018
480,UNITEDPOLY,UNITED POLYFAB GUJARAT LIMITED,SM,10,EXTRA-ORDINARY GENERAL MEETING,29-Jun-2017,,03-Jul-2017,10-Jul-2017
481,AVSL,AVSL Industries Limited,SM,10,ANNUAL GENERAL MEETING,12-Sep-2019,,16-Sep-2019,27-Sep-2019
482,BANSAL,Bansal Multiflex Limited,SM,10,ANNUAL GENERAL MEETING,18-Jul-2018,,20-Jul-2018,27-Jul-2018
483,BANSAL,Bansal Multiflex Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2017,,21-Sep-2017,28-Sep-2017
484,TRANSWIND,Transwind Infrastructures Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2017,,22-Sep-2017,29-Sep-2017
485,TARACHAND,Tara Chand Logistic Solutions Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2018,,21-Sep-2018,28-Sep-2018
486,BCONCEPTS,Brand Concepts Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,30-Sep-2019
487,BCONCEPTS,Brand Concepts Limited,SM,10,ANNUAL GENERAL MEETING,11-Sep-2018,,14-Sep-2018,21-Sep-2018
488,MDL,Marvel Decor Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2019,,20-Sep-2019,30-Sep-2019
489,ZOTA,Zota Health Care LImited,SM,10,DIVIDEND - RS 2/- PER SHARE,28-Jul-2017,,01-Aug-2017,05-Aug-2017
490,TOUCHWOOD,Touchwood Entertainment Limited,SM,10,BONUS 1.5:1,22-Aug-2019,24-Aug-2019,,
491,SANCO,Sanco Industries Limited,SM,10,BONUS 1:5,10-Aug-2016,11-Aug-2016,,
492,VETO,Veto Switchgears And Cables Limited,SM,10,BONUS 1:10,06-Sep-2013,10-Sep-2013,,
493,OPAL,Opal Luxury Time Products Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,29-Sep-2019
494,OPAL,Opal Luxury Time Products Limited,SM,10,ANNUAL GENERAL MEETING,22-Sep-2014,,24-Sep-2014,30-Sep-2014
495,SMVD,SMVD Poly Pack Limited,SM,10,ANNUAL GENERAL MEETING,09-Aug-2018,,11-Aug-2018,16-Aug-2018
496,NARMADA,null,SM,,ANNUAL GENERAL MEETING,19-Sep-2018,,24-Sep-2018,28-Sep-2018
497,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,SM,10,ANNUAL GENERAL MEETING,13-Dec-2018,,15-Dec-2018,21-Dec-2018
498,SAGARDEEP,Sagardeep Alloys Limited,SM,10,ANNUAL GENERAL MEETING,12-Sep-2017,,14-Sep-2017,21-Sep-2017
499,LAGNAM,Lagnam Spintex Limited,SM,10,ANNUAL GENERAL MEETING,03-Sep-2019,,05-Sep-2019,09-Sep-2019
500,SERVOTECH,Servotech Power Systems Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2018,,20-Sep-2018,29-Sep-2018
501,SECURCRED,SecUR Credentials Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,27-Sep-2018
