,symbol,company_name,series,face_value,purpose,ex_date,record_date,bc_start_date,bc_end_date
211,CROWN,Crown Lifters Limited,SM,10,ANNUAL GENERAL MEETING/DIV-RE 1/- PER SHARE,14-Sep-2017,,18-Sep-2017,20-Sep-2017
212,DRL,Dhanuka Realty Limited,SM,10,ANNUAL GENERAL MEETING,22-Aug-2019,,26-Aug-2019,04-Sep-2019
213,KEERTI,Keerti Knowledge and Skills Limited,SM,10,BONUS 21:10,01-Jul-2020,02-Jul-2020,,
214,TOTAL,Total Transport Systems Limited,SM,10,ANNUAL GENERAL MEETING,14-Sep-2018,,18-Sep-2018,24-Sep-2018
215,MANAV,Manav Infra Projects Limited,SM,10,ANNUAL GENERAL MEETING,16-Sep-2019,,18-Sep-2019,24-Sep-2019
216,WORTH,Worth Peripherals Limited,SM,10,INTERIM DIVIDEND - RS 1 PER SHARE,28-Nov-2019,29-Nov-2019,,
217,RKEC,RKEC Projects Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 2 PER SHARE,18-Sep-2019,,20-Sep-2019,26-Sep-2019
218,JASH,Jash Engineering Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND RE 1 PER SHARE,12-Sep-2018,,15-Sep-2018,21-Sep-2018
219,INNOVANA,Innovana Thinklabs Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,28-Sep-2019
220,SINTERCOM,Sintercom India Limited,SM,10,ANNUAL GENERAL MEETING,12-Jul-2018,,16-Jul-2018,20-Jul-2018
221,MMP,MMP Industries Limited,SM,10,BONUS 1:2,30-Dec-2019,31-Dec-2019,,
222,CONTI,Continental Seeds and Chemicals Limited,SM,10,ANNUAL GENERAL MEETING,07-Sep-2018,,11-Sep-2018,18-Sep-2018
223,PENTAGOLD,null,SM,,ANNUAL GENERAL MEETING,14-Sep-2018,,18-Sep-2018,24-Sep-2018
224,PIGL,null,SM,,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,29-Sep-2018
225,SHRADHA,null,SM,,ANNUAL GENERAL MEETING,11-Sep-2018,,14-Sep-2018,28-Sep-2018
226,SONISOYA,null,SM,,ANNUAL GENERAL MEETING,20-Sep-2019,,24-Sep-2019,27-Sep-2019
227,UCL,Ushanti Colour Chem Limited,SM,10,INTERIM DIVIDEND,31-Oct-2019,01-Nov-2019,,
228,AHLADA,Ahlada Engineers Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 1 PER SHARE,19-Sep-2019,20-Sep-2019,,
229,UWCSL,Ultra Wiring Connectivity System Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.10 PER SHARE,13-Sep-2019,16-Sep-2019,,
230,AGROPHOS,Agro Phos India Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND- RE 0.05 PER SHARE,24-Sep-2018,,26-Sep-2018,29-Sep-2018
231,STEELCITY,Steel City Securities Limited,SM,10,INTERIM DIVIDEND RE 1/- PER SHARE,26-Oct-2017,27-Oct-2017,,
232,INFOBEAN,InfoBeans Technologies Limited,SM,10,ANNUAL GENERAL MEETING,14-Sep-2017,,18-Sep-2017,25-Sep-2017
233,VAISHALI,Vaishali Pharma Limited,SM,10,BONUS 3:5,17-Oct-2019,18-Oct-2019,,
234,VAISHALI,Vaishali Pharma Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2019,,20-Sep-2019,30-Sep-2019
235,SRPL,Shree Ram Proteins Limited,SM,10,ANNUAL GENERAL MEETING,23-Sep-2019,,25-Sep-2019,30-Sep-2019
